config,job_id,prompt_idx,edit_p,runtime_s,cache,vram_mb,out_path
baseline_fp32,000000000000,0,a slanted rusty mountain motorcycle in front of a fence,2.377,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000000_0.png
baseline_fp32,000000000000,1,"a slanted mountain bicycle on the road in front of a building at night, dark lighting",2.4156,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000000_1.png
baseline_fp32,000000000000,2,"a slanted mountain bicycle on the road in front of a building in winter, covered in snow",2.405,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000000_2.png
baseline_fp32,000000000001,0,a square cake with strawberry frosting on a plastic plate,2.4341,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000001_0.png
baseline_fp32,000000000001,1,"a round cake with orange frosting on a wooden plate at night, dark lighting",2.4363,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000001_1.png
baseline_fp32,000000000001,2,"a round cake with orange frosting on a wooden plate in winter, covered in snow",2.4766,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000001_2.png
baseline_fp32,000000000002,0,a red dog with flowers in mouth standing on a metal chair,2.4972,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000002_0.png
baseline_fp32,000000000002,1,"a cat sitting on a wooden chair at night, dark lighting",2.5198,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000002_1.png
baseline_fp32,000000000002,2,"a cat sitting on a wooden chair in winter, covered in snow",2.5444,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000002_2.png
baseline_fp32,000000000003,0,"blue light, a black and white dog is playing with a yellow ball",2.5948,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000003_0.png
baseline_fp32,000000000003,1,"blue light, a black and white cat is playing with a flower at night, dark lighting",2.604,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000003_1.png
baseline_fp32,000000000003,2,"blue light, a black and white cat is playing with a flower in winter, covered in snow",2.6279,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000003_2.png
baseline_fp32,000000000004,0,a silver cat sculpture standing next to a mirror,2.6384,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000004_0.png
baseline_fp32,000000000004,1,"a cat sitting next to a mirror at night, dark lighting",2.6668,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000004_1.png
baseline_fp32,000000000004,2,"a cat sitting next to a mirror in winter, covered in snow",2.6705,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000004_2.png
baseline_fp32,000000000005,0,an white cat and a dog standing on top of a fence,2.711,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000005_0.png
baseline_fp32,000000000005,1,"an orange cat sitting on top of a fence at night, dark lighting",2.7773,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000005_1.png
baseline_fp32,000000000005,2,"an orange cat sitting on top of a fence in winter, covered in snow",2.8062,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000005_2.png
baseline_fp32,000000000006,0,a yellow cup of milk with drawing of rose putted on the wooden table,2.8764,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000006_0.png
baseline_fp32,000000000006,1,"a cup of coffee with drawing of tulip putted on the wooden table at night, dark lighting",2.8639,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000006_1.png
baseline_fp32,000000000006,2,"a cup of coffee with drawing of tulip putted on the wooden table in winter, covered in snow",2.9267,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000006_2.png
baseline_fp32,000000000007,0,a white german shepherd dog sits on the grass with big mouth opened,2.9907,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000007_0.png
baseline_fp32,000000000007,1,"a german shepherd dog stands on the grass with mouth closed at night, dark lighting",3.0291,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000007_1.png
baseline_fp32,000000000007,2,"a german shepherd dog stands on the grass with mouth closed in winter, covered in snow",3.0621,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000007_2.png
baseline_fp32,000000000008,0,a black german shepherd holding a rose standing on the ground in front of fence,3.1241,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000008_0.png
baseline_fp32,000000000008,1,"a golden retriever holding a tulip sitting on the ground in front of fence at night, dark lighting",3.1416,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000008_1.png
baseline_fp32,000000000008,2,"a golden retriever holding a tulip sitting on the ground in front of fence in winter, covered in snow",3.1776,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000008_2.png
baseline_fp32,000000000009,0,Painting of a lion laying down on a blue background,3.1691,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000009_0.png
baseline_fp32,000000000009,1,"a dog is laying down on a white background at night, dark lighting",3.1169,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000009_1.png
baseline_fp32,000000000009,2,"a dog is laying down on a white background in winter, covered in snow",3.0554,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000009_2.png
baseline_fp32,000000000010,0,photo of a white horse and a cat sitting on rocks near the ocean,3.0053,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000010_0.png
baseline_fp32,000000000010,1,"photo of a goat and a cat standing on rocks near the ocean at night, dark lighting",2.9976,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000010_1.png
baseline_fp32,000000000010,2,"photo of a goat and a cat standing on rocks near the ocean in winter, covered in snow",2.9236,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000010_2.png
baseline_fp32,000000000011,0,a brown owl standing on a red flower,2.9056,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000011_0.png
baseline_fp32,000000000011,1,"a colorful bird standing on a branch at night, dark lighting",2.9063,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000011_1.png
baseline_fp32,000000000011,2,"a colorful bird standing on a branch in winter, covered in snow",2.8692,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000011_2.png
baseline_fp32,000000000012,0,Tuna sushi on white metal plate,2.8574,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000012_0.png
baseline_fp32,000000000012,1,"meat balls on white ceramics plate at night, dark lighting",2.8613,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000012_1.png
baseline_fp32,000000000012,2,"meat balls on white ceramics plate in winter, covered in snow",2.8364,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000012_2.png
baseline_fp32,000000000013,0,three white cupcakes on black metal bowl,2.8238,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000013_0.png
baseline_fp32,000000000013,1,"three white dumplings on brown wooden bowl at night, dark lighting",2.8065,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000013_1.png
baseline_fp32,000000000013,2,"three white dumplings on brown wooden bowl in winter, covered in snow",2.8107,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000013_2.png
baseline_fp32,000000000014,0,a man in white shirt with his hands up standing by a house,2.8275,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000014_0.png
baseline_fp32,000000000014,1,"a man in black shirt with his hands hanging down standing by a house at night, dark lighting",2.8186,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000014_1.png
baseline_fp32,000000000014,2,"a man in black shirt with his hands hanging down standing by a house in winter, covered in snow",2.8732,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000014_2.png
baseline_fp32,000000000015,0,Blue metal plate with vegatables on it,2.867,off,14595.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260617-0336-bb4785/baseline_fp32/000000000015_0.png
