config,job_id,prompt_idx,edit_p,runtime_s,cache,vram_mb,out_path
baseline_fp32,000000000000,0,a slanted rusty mountain motorcycle in front of a fence,2.4799,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000000_0.png
baseline_fp32,000000000000,1,"a slanted mountain bicycle on the road in front of a building at night, dark lighting",2.4873,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000000_1.png
baseline_fp32,000000000000,2,"a slanted mountain bicycle on the road in front of a building in winter, covered in snow",2.4948,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000000_2.png
baseline_fp32,000000000001,0,a square cake with strawberry frosting on a plastic plate,2.5018,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000001_0.png
baseline_fp32,000000000001,1,"a round cake with orange frosting on a wooden plate at night, dark lighting",2.5309,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000001_1.png
baseline_fp32,000000000001,2,"a round cake with orange frosting on a wooden plate in winter, covered in snow",2.5535,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000001_2.png
baseline_fp32,000000000002,0,a red dog with flowers in mouth standing on a metal chair,2.5711,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000002_0.png
baseline_fp32,000000000002,1,"a cat sitting on a wooden chair at night, dark lighting",2.569,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000002_1.png
baseline_fp32,000000000002,2,"a cat sitting on a wooden chair in winter, covered in snow",2.5926,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000002_2.png
baseline_fp32,000000000003,0,"blue light, a black and white dog is playing with a yellow ball",2.5954,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000003_0.png
baseline_fp32,000000000003,1,"blue light, a black and white cat is playing with a flower at night, dark lighting",2.6408,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000003_1.png
baseline_fp32,000000000003,2,"blue light, a black and white cat is playing with a flower in winter, covered in snow",2.6227,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000003_2.png
baseline_fp32,000000000004,0,a silver cat sculpture standing next to a mirror,2.6375,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000004_0.png
baseline_fp32,000000000004,1,"a cat sitting next to a mirror at night, dark lighting",2.6475,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000004_1.png
baseline_fp32,000000000004,2,"a cat sitting next to a mirror in winter, covered in snow",2.6377,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000004_2.png
baseline_fp32,000000000005,0,an white cat and a dog standing on top of a fence,2.6226,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000005_0.png
baseline_fp32,000000000005,1,"an orange cat sitting on top of a fence at night, dark lighting",2.5973,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000005_1.png
baseline_fp32,000000000005,2,"an orange cat sitting on top of a fence in winter, covered in snow",2.5692,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000005_2.png
baseline_fp32,000000000006,0,a yellow cup of milk with drawing of rose putted on the wooden table,2.5522,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000006_0.png
baseline_fp32,000000000006,1,"a cup of coffee with drawing of tulip putted on the wooden table at night, dark lighting",2.5497,off,14605.6,/content/CS2309.CH201/results/notebook/qsbench_imgs/20260614-1644-fa0711/baseline_fp32/000000000006_1.png
